11.08.21 GC-MS Measurement;;;;Int.Std.: PCNB;5 ul of 10 ng/ul;;;Comments;signal double as expected - probabaly w/o n-hex dilution - repeat after add 0.5ml n-hex;;;;;;;
IE from 28.07.21, Derivatization of IE_1 to IE_8, C_Std_1/2/3 and PostBlk 10.08.21;;;;;;;;;Maybe Derivatization mistake (forgot 1st step - add. Of init. 0.5ml 1N HCl);;;;;;;
Method: PFAS_Li-Sun.m;;Integration by ;;;;;;;Samples repeated step by step with remaining analysis of IE;;;;;;;
Injection vol. 1ul;;ChemStation, Auto, RTE;;;;;;;;;Theor. Conc [ppm];;;;;
;;m/z 293;Int. Std.;;m/z 525;;;m/z 526;;;PFOA;;;;;
Run no.;Sample ID;RT;SIM_293;SIM_293_auto;RT;SIM_525;SIM_525_auto;RT;SIM_526;SIM_526_auto;in n-Hex;init. aq. Sol;;;;
17;IE_PFAS_12.08.21_8_IE_11.2;15.859;261023;260886;10.811;2483899;2483082;10.811;370293;370702;;;149.2910826;3.564566738;3.536466782;
18;IE_PFAS_12.08.21_9_IE_12.1;15.86;127766;0;10.811;2569336;2553685;10.811;387039;386763;;;151.4529004;3.687174738;3.640676775;
19;IE_PFAS_12.08.21_9_IE_12.2;15.86;139570;;10.811;2848591;2840796;10.811;428125;428125;;;150.7059993;4.087924964;4.064452471;
20;IE_PFAS_12.08.21_10_IE_13.1;15.859;261376;261549;10.812;351216;352166;10.811;0;52990;;;150.468813;0.504019234;0.39123581;
21;IE_PFAS_12.08.21_14_Blk.3;15.858;258120;258120;10.78;;20264;;;;;;0;0;-0.098651379;
22;IE_PFAS_12.08.21_11_IE_14.1;15.858;202107;202717;10.812;2185547;2172556;10.812;323633;324387;;;149.311226;3.136410998;3.078130558;
23;IE_PFAS_12.08.21_11_IE_14.2;15.858;206800;209607;10.812;1913623;1894244;10.811;284327;284327;;;150.100515;2.746181264;2.667342182;
24;IE_PFAS_12.08.21_12_IE_15.1;15.859;305392;305929;10.812;2940252;2928756;10.811;438508;438508;;;149.7250027;4.219464834;4.194281387;
25;IE_PFAS_12.08.21_12_IE_15.2;15.858;314956;314956;10.812;3435503;3412430;10.811;507701;508098;;;148.8962411;4.930184248;4.908183974;
26;IE_PFAS_12.08.21_13_IE_16.1;15.857;305324;305324;10.812;2755923;2726658;10.811;406671;406671;;;149.1463176;3.954939979;3.895984839;
27;IE_PFAS_12.08.21_13_IE_16.2;15.858;285140;285140;10.812;4208329;4195581;10.811;634607;634607;;;151.2560477;6.039242971;6.064114467;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
16.08.21 GC-MS Measurement;;;;Int.Std.: PCNB;5 ul of 10 ng/ul;;;Comments;;;;;;;;
IE from 28.07.21, Derivatization of IE_2 + IE_3 + IE_17 to IE_24, C_Std_1/2/3 and PostBlk 15.08.21;;;;;;;;;;;;;;;;
Method: PFAS_Li-Sun.m;;Integration by ;;;;;;;Blk;;;;;;;
Injection vol. 1ul;;ChemStation, Auto, RTE;;;;;;;;;Theor. Conc [ppm];;;;;
;;m/z 293;Int. Std.;;m/z 525;;;m/z 526;;;PFOA;;;;;
Run no.;Sample ID;RT;SIM_293;SIM_293_auto;RT;SIM_525;SIM_525_auto;RT;SIM_526;SIM_526_auto;in n-Hex;init. aq. Sol;;;;
1;IE_PFAS_15.08.21_14_Blk.0;15.859;;68853;10.801;;17881;;;;0;;;;;
2;IE_PFAS_15.08.21_14_Blk.1;15.859;;81970;10.807;;29907;;;;0;;;;;
3;IE_PFAS_15.08.21_1_C_Std_1.1;15.859;576197;574171;10.806;;165906;10.799;;25418;0.25;0.05;153.2072378;;;
4;IE_PFAS_15.08.21_1_C_Std_1.2;15.858;372262;372262;10.81;184189;185386;10.811;;29464;0.25;0.05;158.9332528;;;
5;IE_PFAS_15.08.21_2_C_Std_2.1;15.859;422091;422091;10.811;1866416;1864943;10.811;173270;278286;2.5;0.5;149.219574;;;
6;IE_PFAS_15.08.21_2_C_Std_2.2;15.859;378959;378959;10.812;1998748;1991144;10.812;292692;293244;2.5;0.5;147.2741298;;;
7;IE_PFAS_15.08.21_3_C_Std_3.1;15.859;562284;562092;10.804;4458414;4449364;10.803;665883;668539;5;1;150.2549578;Computed Conc;;
8;IE_PFAS_15.08.21_3_C_Std_3.2;15.86;531310;528788;10.808;3394771;3387624;10.808;504093;504093;5;1;148.8042947;n.hex [ppm];;
9;IE_PFAS_15.08.21_14_Blk.2;15.86;132878;135593;10.81;;79262;10.808;;13273;0;;167.4572935;SIM_525;SIM_525_auto;
10;IE_PFAS_15.08.21_4_IE_2.1;15.859;367678;367678;10.811;2593106;2588454;10.811;388061;388061;;;149.9199909;;3.311169529;
11;IE_PFAS_15.08.21_4_IE_2.2;15.86;145975;145975;10.812;3383281;3373853;10.812;505733;505733;;;149.8977578;;4.320783628;
12;IE_PFAS_15.08.21_5_IE_3.1;15.859;442279;442279;10.813;1942122;1942122;10.772;39090;292687;;;150.7047446;;2.480323169;
13;IE_PFAS_15.08.21_5_IE_3.2;15.858;341764;341764;10.812;2182455;2174874;10.811;328221;328860;;;151.2087597;;2.77952103;
14;IE_PFAS_15.08.21_6_IE_17.1;15.86;136007;141211;10.808;;88960;;;;;;0;;0.098121915;
15;IE_PFAS_15.08.21_7_IE_18.1;15.861;340542;342757;10.808;;232604;;;;;;0;;0.282773293;
16;IE_PFAS_15.08.21_8_IE_19.1;15.861;257193;257193;10.808;1448094;1448094;10.807;;212995;;;147.086446;;1.845260438;
17;IE_PFAS_15.08.21_8_IE_19.2;15.86;;69200;10.808;1954193;1949849;10.807;287613;288234;;;147.8237546;;2.490256067;
18;IE_PFAS_15.08.21_9_IE_20.1;15.86;242029;243265;10.802;718257;720683;10.802;;103142;;;143.1170154;;0.910188708;
19;IE_PFAS_15.08.21_9_IE_20.2;15.86;0;89619;10.806;699793;699793;10.806;0;105074;;;150.1501158;;0.883335047;
20;IE_PFAS_15.08.21_14_Blk.3;15.859;202515;203812;10.812;;40579;;;;;;0;;0.035929144;
21;IE_PFAS_15.08.21_10_IE_21.1;15.86;168514;170843;10.807;;118898;10.807;;16006;;;134.6195899;;0.136606592;
22;IE_PFAS_15.08.21_11_IE_22.1;15.861;328659;328659;10.801;;18766;;;;;;0;;0.007888986;
23;IE_PFAS_15.08.21_12_IE_23.1;15.86;191423;191748;10.8;761878;766173;10.8;;115566;;;150.8353857;;0.968665158;
24;IE_PFAS_15.08.21_12_IE_23.2;15.86;126647;124899;10.809;694324;694324;10.809;;101227;;;145.7921662;;0.876304761;
25;IE_PFAS_15.08.21_13_IE_24.1;15.861;146319;147921;10.807;545029;545029;10.806;;78863;;;144.6950529;;0.68438914;
26;IE_PFAS_15.08.21_13_IE_24.2;15.859;143473;148035;10.808;440088;440541;10.808;;65666;;;149.057636;;0.550071987;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
18.08.21 GC-MS Measurement;;;;Int.Std.: PCNB;5 ul of 10 ng/ul;;;Comments;;;;;;;;
IE from 28.07.21, Derivatization of IE_2 + IE_3 + IE_17 to IE_24, C_Std_1/2/3 and PostBlk 17.08.21;;;;;;;;;;;;;;;;
Method: PFAS_Li-Sun.m;;Integration by ;;;;;;;Blk;;;;;;;
Injection vol. 1ul;;ChemStation, Auto, RTE;;;;;;;;;Theor. Conc [ppm];;;;;
;;m/z 293;Int. Std.;;m/z 525;;;m/z 526;;;PFOA;;;;;
Run no.;Sample ID;RT;SIM_293;SIM_293_auto;RT;SIM_525;SIM_525_auto;RT;SIM_526;SIM_526_auto;in n-Hex;init. aq. Sol;;;;
