03.08.21 GC-MS Measurement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_A from 27.07.21, C_Std and R_Std from 27.06.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Method: PCE_T-Ramp_DHSI_SIM;;Integration by ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Injection vol. 50ul;;ChemStation, AutoIntegrator and RTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;m/z 95;;;m/z 150;;;m/z 152;;;m/z 164;;Auto;RTE;m/z 166;;Auto;RTE;m/z 150;Auto;m/z 130;;m/z 131;;m/z 132;;Theoret. Init. Conc;;
Run no.;Sample ID;RT;SIM_95;SIM_95_auto;RT;SIM_150;SIM_150_auto;RT;SIM_152;SIM_152_auto;RT;SIM_164;SIM_164;SIM_164;RT;SIM_166;SIM_166;SIM_166;RT;SIM_150;;;;;;;aq.;164/166;
26;IE_A_PCE_27.07.21_IE_23.1;;;;;;;;;;;;;;6.989;;;302;;;;;;;;;;0;0.025506277
27;IE_A_PCE_27.07.21_IE_23.2;;;;;;;;;;;;;;7.001;;;316;;;;;;;;;;0;0.026152391
28;IE_A_PCE_27.07.21_IE_24.1;;;;;;;;;;7.001;;;414;7.001;;;308;;;;;;;;;;1.344155844;0.025783183
29;IE_A_PCE_27.07.21_IE_24.2;;;;;;;;;;7.001;;;362;7.001;;;495;;;;;;;;;;0.731313131;0.034413421
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.08.21 GC-MS Measurement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_A from 27.07.21, C_Std and R_Std from 27.06.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Method: PCE_T-Ramp_DHSI_SIM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Injection vol. 50ul;;Integration by ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ChemStation, AutoIntegrator and RTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Run no.;;m/z 95;;;m/z 150;;;m/z 152;;;m/z 164;;Auto;RTE;m/z 166;;Auto;RTE;m/z 150;Auto;m/z 130;;m/z 131;;m/z 132;;Theoret. Init. Conc;;
;Sample ID;RT;SIM_95;;RT;SIM_150;;RT;;SIM_152;RT;SIM_164;SIM_164;SIM_164;RT;SIM_166;SIM_166;SIM_166;RT;SIM_150;;;;;;;aq.;164/166;
1;IE_A_PCE_27.07.21_Blk.0;;;;;;;;;;;;;;;;;;13.166;77246;;;;;;;;;
2;IE_A_PCE_27.07.21_Blk.1;;;;;;;;;;;;;;;;;;13.168;94964;;;;;;;;;
3;IE_A_PCE_27.07.21_C_Std_1.1;;;;;;;;;;7.001;;;742;7.001;;;682;13.17;105511;;;;;;;0.05;1.08797654;
4;IE_A_PCE_27.07.21_C_Std_1.2;;;;;;;;;;7.001;;;591;6.989;;;687;13.171;97232;;;;;;;0.05;0.860262009;
5;IE_A_PCE_27.07.21_C_Std_2.1;;;;;;;;;;7.001;;;1261;7.001;;;1550;13.171;89395;;;;;;;0.1;0.813548387;
6;IE_A_PCE_27.07.21_C_Std_2.2;;;;;;;;;;7.001;;;1213;7.001;;;1111;13.172;71996;;;;;;;0.1;1.091809181;
7;IE_A_PCE_27.07.21_C_Std_3.1;;;;;;;;;;7.001;;;4888;7.001;;;6550;13.171;97223;;;;;;;0.5;0.746259542;
8;IE_A_PCE_27.07.21_C_Std_3.2;;;;;;;;;;7.001;;;5023;7.001;;;6372;13.172;92207;;;;;;;0.5;0.78829253;
9;IE_A_PCE_27.07.21_IE_25.1;;;;;;;;;;;;;;7.001;;;285;;;;;;;;;;0;0.01870794
10;IE_A_PCE_27.07.21_IE_26.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;IE_A_PCE_27.07.21_IE_27.1;;;;;;;;;;7.001;;;918;7.001;;;1196;;;;;;;;;;0.767558528;0.089696797
12;IE_A_PCE_27.07.21_IE_27.2;;;;;;;;;;7.001;;;1135;7.001;;;1349;;;;;;;;;;0.841363973;0.101619185
13;IE_A_PCE_27.07.21_Blk.2;;;;;;;;;;;;;;;;;;13.172;85961;;;;;;;;;
14;IE_A_PCE_27.07.21_IE_28.1;;;;;;;;;;7.001;;;618;7.001;;;938;;;;;;;;;;0.658848614;0.069592379
15;IE_A_PCE_27.07.21_IE_28.2;;;;;;;;;;;;;;7.001;;;1068;;;;;;;;;;0;0.079722512
16;IE_A_PCE_27.07.21_IE_29.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;IE_A_PCE_27.07.21_IE_30.1;;;;;;;;;;7.001;;;253;;;;;;;;;;;;;;;
18;IE_A_PCE_27.07.21_IE_31.1;;;;;;;;;;7.001;;;657;7.001;;;769;;;;;;;;;;0.854356307;0.056423206
19;IE_A_PCE_27.07.21_IE_31.2;;;;;;;;;;7.001;;;778;7.001;;;935;;;;;;;;;;0.832085561;0.069358607
20;IE_A_PCE_27.07.21_IE_32.1;;;;;;;;;;7.001;;;837;7.001;;;921;;;;;;;;;;0.908794788;0.068267669
21;IE_A_PCE_27.07.21_IE_32.2;;;;;;;;;;7.001;;;900;7.001;;;871;;;;;;;;;;1.033295063;0.064371464
